"","x"
"1","(Intercept)"
"2","ADRB3"
"3","AKAP10"
"4","ALDH1A2"
"5","ALPL"
"6","ANKRD1"
"7","AQP8"
"8","ARHGAP4"
"9","ASPHD1"
"10","B4GALT5"
"11","BEAN1"
"12","BHMT2"
"13","BPESC1"
"14","BRWD1"
"15","C10orf76"
"16","C14orf93"
"17","C2orf54"
"18","C8orf44-SGK3///SGK3"
"19","C9orf9"
"20","CADM1"
"21","CCL8"
"22","CD7"
"23","CD72"
"24","CD96"
"25","CDC25B"
"26","CDC6"
"27","CHRNA1"
"28","CHST1"
"29","CHST2"
"30","CLDN16"
"31","CLIP1"
"32","CLSTN2"
"33","CNTLN"
"34","CNTN1"
"35","CRTAC1"
"36","CSRNP3"
"37","CYP1A2"
"38","CYP2E1"
"39","CYP4F11"
"40","DCAF10"
"41","DECR1"
"42","DENND1B"
"43","DENND4C"
"44","DKK2"
"45","DLG2"
"46","DOK3"
"47","DSC3"
"48","DUSP4"
"49","DUSP6"
"50","ERAL1"
"51","FABP3"
"52","FAM210B"
"53","FER"
"54","FEZF2"
"55","GAP43"
"56","GPR20"
"57","GPR64"
"58","GZMB"
"59","HHAT"
"60","HIST1H2BM"
"61","HIST1H4B"
"62","HOXD3"
"63","HTR1A"
"64","IFT74"
"65","IGHV3-47"
"66","INHBE"
"67","ITGBL1"
"68","ITIH3"
"69","IVD"
"70","KIF18A"
"71","KRT13"
"72","KRTAP4-7"
"73","LAMB4"
"74","LPAR2"
"75","LRRK1"
"76","MAL"
"77","MCF2"
"78","MEIS2"
"79","MIOS"
"80","MON1B"
"81","MORC1"
"82","MTNR1B"
"83","MTRF1L///RGS17"
"84","MYH7B"
"85","NHP2P2"
"86","NIPBL"
"87","NLRP2"
"88","NPTXR"
"89","NRP1"
"90","NTS"
"91","NUDT6"
"92","OCM///OCM2"
"93","ORM1"
"94","PADI2"
"95","PCGF2"
"96","PCGF3"
"97","PDE1A"
"98","PDIA5"
"99","PDXK"
"100","PDZRN4"
"101","PFKFB4"
"102","PPM1H"
"103","PPP1R3A"
"104","PRG3"
"105","PTPN13"
"106","PTPRN"
"107","PYGL"
"108","RAB40C"
"109","RBBP9"
"110","RGP1"
"111","RHBDF2"
"112","RINT1"
"113","RN7SL724P"
"114","RNU4-46P///TMC5"
"115","RPL7P27"
"116","RTN2"
"117","S100P"
"118","SCARF1"
"119","SEC61A2"
"120","SH2D3A"
"121","SHCBP1"
"122","SLC18A3"
"123","SLC2A2"
"124","SOSTDC1"
"125","SPAG6"
"126","SPRY2"
"127","SUGP1"
"128","SYNDIG1"
"129","TBC1D1"
"130","TBX2"
"131","TGM2"
"132","TNFRSF14"
"133","TPP2"
"134","TRAPPC6A"
"135","TRIM46"
"136","TSHR"
"137","TSSK2"
"138","TWF1P1///TWF1"
"139","UBXN6"
"140","UGT2B17"
"141","UNKL"
"142","UVRAG"
"143","WDR77"
"144","WHAMMP3///WHAMMP2"
"145","WNT4"
"146","ZNF16"
"147","ZNF223"
"148","ZNF506"
"149","ZNF696"
"150","ACSS3"
"151","AKR1C1///AKR1C2"
"152","APBA2"
"153","APCS"
"154","CCDC40"
"155","CD151"
"156","CFHR3///CFHR4"
"157","CHMP1B"
"158","CLCF1"
"159","COX7C"
"160","CPS1"
"161","CYCSP19"
"162","DHRS4///DHRS4L2"
"163","DRD3"
"164","EPHA7"
"165","ESR1"
"166","EXOG"
"167","FABP7"
"168","GSE1"
"169","GYS2"
"170","HAS1"
"171","HDAC11"
"172","HIST1H2BJ"
"173","HKDC1"
"174","IL6R"
"175","KIAA1024"
"176","KIF20B"
"177","KIF2A"
"178","LPCAT1"
"179","LRIT1"
"180","MYH2"
"181","MYL3"
"182","NAB1"
"183","NDUFA7"
"184","NEFL"
"185","ONECUT1"
"186","PCSK2"
"187","PDYN"
"188","PLA2G10"
"189","PMVK"
"190","PON2"
"191","PRG4"
"192","PTEN///PTENP1"
"193","PTGDR2"
"194","PTGS2"
"195","PTHLH"
"196","QDPR"
"197","RBM15B"
"198","RBMY1HP///RBMY1B///RBMY1A1///RBMY1E///RBMY1D///RBMY1F///RBMY1J"
"199","RCL1"
"200","RNF121///IL18BP"
"201","SEC14L3"
"202","SEC14L4///SEC14L6"
"203","SIX3"
"204","SLCO3A1"
"205","SNTB2"
"206","TBC1D12"
"207","TEX11"
"208","TLDC1"
"209","TRIM49B///TRIM49///TRIM49C"
"210","TSGA10"
"211","TSHZ2"
"212","TXNRD1"
"213","TYRP1"
"214","UGT2B17"
"215","URI1"
"216","ZMIZ1"
"217","ZNF131"
"218","ZNF155"
